product_a_id,product_b_id,score,decision,name_a,name_b,brand_a,brand_b,retailer_a,retailer_b,price_a,price_b,dimension_a,dimension_b,explanation
1050,1090,0.84,no_merge,Kit Prancha Chapinha Nano Titanium + Secador Profissional Potente + Modelador De Cachos Spiral Voltagem 220v,Kit Prancha Chapinha Nano Titanium + Secador Profissional Potente + Modelador De Cachos Spiral Voltagem 110v,titanium liss cosméticos,titanium liss cosméticos,amazon_br,amazon_br,27999,27999,,,brand_match:titanium liss cosmeticos; title_high:0.98; model_match:8600w; size_missing_both; shade_match:azul; pack_match:20; category_exact; price_close; penalty:conflicting_global_identifier
3393,3926,0.84,no_merge,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 35 RRM602-4,MELU - CORRETIVO LÍQUIDO COISA MAIS LINDA MADE IN 25 RRM602-3,melu,melu,amazon_br,amazon_br,2600,2600,,,brand_match:melu; title_high:0.97; model_match:rrm602; size_match:20g; color_match:rose; pack_match:4; price_close; penalty:conflicting_global_identifier
2087,2285,0.84,no_merge,Payot Po Compacto Payot Retinol 10,Payot Po Compacto Payot Retinol 40,payot,payot,amazon_br,amazon_br,5599,5501,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2087,2628,0.84,no_merge,Payot Po Compacto Payot Retinol 10,Payot Po Compacto Payot Retinol 30,payot,payot,amazon_br,amazon_br,5599,5005,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2087,3114,0.84,no_merge,Payot Po Compacto Payot Retinol 10,Payot Po Compacto Payot Retinol 50,payot,payot,amazon_br,amazon_br,5599,4899,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2087,4379,0.84,no_merge,Payot Po Compacto Payot Retinol 10,Payot Po Compacto Payot Retinol 60,payot,payot,amazon_br,amazon_br,5599,4999,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2285,2628,0.84,no_merge,Payot Po Compacto Payot Retinol 40,Payot Po Compacto Payot Retinol 30,payot,payot,amazon_br,amazon_br,5501,5005,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2285,3114,0.84,no_merge,Payot Po Compacto Payot Retinol 40,Payot Po Compacto Payot Retinol 50,payot,payot,amazon_br,amazon_br,5501,4899,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2285,4379,0.84,no_merge,Payot Po Compacto Payot Retinol 40,Payot Po Compacto Payot Retinol 60,payot,payot,amazon_br,amazon_br,5501,4999,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2628,3114,0.84,no_merge,Payot Po Compacto Payot Retinol 30,Payot Po Compacto Payot Retinol 50,payot,payot,amazon_br,amazon_br,5005,4899,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2628,4379,0.84,no_merge,Payot Po Compacto Payot Retinol 30,Payot Po Compacto Payot Retinol 60,payot,payot,amazon_br,amazon_br,5005,4999,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
3114,4379,0.84,no_merge,Payot Po Compacto Payot Retinol 50,Payot Po Compacto Payot Retinol 60,payot,payot,amazon_br,amazon_br,4899,4999,,,brand_match:payot; title_high:0.96; size_match:10g; shade_match:bege; pack_match:8; category_exact; price_close; penalty:conflicting_global_identifier; penalty:conflicting_model
2712,4147,0.84,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Black!,"BT VELVET/2X1 PRIMER/SOMBRA LÍQUIDA PALE!, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.95; model_match:2x1; size_match:49g; shade_match:forma; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
3106,4147,0.84,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Brown!,"BT VELVET/2X1 PRIMER/SOMBRA LÍQUIDA PALE!, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.95; model_match:2x1; size_ambiguous; shade_match:forma; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
4084,4147,0.84,no_merge,Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Violet!,"BT VELVET/2X1 PRIMER/SOMBRA LÍQUIDA PALE!, Bruna Tavares",bruna tavares,bruna tavares,amazon_br,amazon_br,,5990,,,brand_match:bruna tavares; title_high:0.95; model_match:2x1; size_match:49g; shade_match:forma; pack_match:5; category_exact; penalty:conflicting_global_identifier
4147,4204,0.84,no_merge,"BT VELVET/2X1 PRIMER/SOMBRA LÍQUIDA PALE!, Bruna Tavares",Bruna Tavares Bt Velvet/2X1 Primer/Sombra Líquida Cherry!,bruna tavares,bruna tavares,amazon_br,amazon_br,5990,5990,,,brand_match:bruna tavares; title_high:0.95; model_match:2x1; size_match:49g; pack_match:5; category_exact; price_close; penalty:conflicting_global_identifier
